Time Norm Re(ACF(t)) Im(ACF(t) |ACF(t)| Re(Extra) Im(Extra) |Extra| Sum(HEhr) Pop1 Pop2 Pop1+Pop2 Pop2-Pop1
  0.24500000E+000  0.99983304E+000 -0.93125612E+000  0.18602542E+000  0.94965437E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.32462647E+004  0.94110223E+000  0.58730813E-001  0.99983304E+000  0.88237142E+000
  0.24750000E+000  0.99983304E+000 -0.88804199E+000  0.33365408E+000  0.94865359E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.32462647E+004  0.93992951E+000  0.59903537E-001  0.99983304E+000  0.88002597E+000
  0.25000000E+000  0.99983304E+000 -0.82161145E+000  0.47221143E+000  0.94764392E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.32462647E+004  0.93874609E+000  0.61086948E-001  0.99983304E+000  0.87765915E+000
  0.25250000E+000  0.99983304E+000 -0.73375947E+000  0.59807752E+000  0.94662541E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.32462647E+004  0.93755203E+000  0.62281009E-001  0.99983304E+000  0.87527102E+000
  0.25500000E+000  0.99983304E+000 -0.62684023E+000  0.70797392E+000  0.94559809E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.32462647E+004  0.93634736E+000  0.63485686E-001  0.99983304E+000  0.87286167E+000
  0.25750000E+000  0.99983304E+000 -0.50370394E+000  0.79904926E+000  0.94456200E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.32462647E+004  0.93513210E+000  0.64700941E-001  0.99983304E+000  0.87043116E+000
  0.26000000E+000  0.99983304E+000 -0.36762070E+000  0.86895319E+000  0.94351716E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.32462647E+004  0.93390630E+000  0.65926741E-001  0.99983304E+000  0.86797956E+000
  0.26250000E+000  0.99983304E+000 -0.22219361E+000  0.91589718E+000  0.94246361E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.32462647E+004  0.93267000E+000  0.67163047E-001  0.99983304E+000  0.86550695E+000
  0.26500000E+000  0.99983304E+000 -0.71263188E-001  0.93870023E+000  0.94140139E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.32462647E+004  0.93142322E+000  0.68409824E-001  0.99983304E+000  0.86301339E+000
  0.26750000E+000  0.99983304E+000  0.81194220E-001  0.93681855E+000  0.94033053E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.32462647E+004  0.93016601E+000  0.69667034E-001  0.99983304E+000  0.86049897E+000
  0.27000000E+000  0.99983304E+000  0.23117130E+000  0.91035838E+000  0.93925106E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.32462647E+004  0.92889840E+000  0.70934642E-001  0.99983304E+000  0.85796376E+000
  0.27250000E+000  0.99983304E+000  0.37473529E+000  0.86007170E+000  0.93816302E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.32462647E+004  0.92762043E+000  0.72212608E-001  0.99983304E+000  0.85540783E+000
  0.27500000E+000  0.99983304E+000  0.50813121E+000  0.78733488E+000  0.93706645E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.32462647E+004  0.92633215E+000  0.73500895E-001  0.99983304E+000  0.85283125E+000
  0.27750000E+000  0.99983304E+000  0.62788020E+000  0.69411105E+000  0.93596138E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.32462647E+004  0.92503358E+000  0.74799467E-001  0.99983304E+000  0.85023411E+000
  0.28000000E+000  0.99983304E+000  0.73087039E+000  0.58289702E+000  0.93484784E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.32462647E+004  0.92372476E+000  0.76108283E-001  0.99983304E+000  0.84761648E+000
